,Unnamed: 0,Country,Daily new confirmed cases of COVID-19,daily_vaccinations
2743122,2743122,China,58,187500
2750982,2750982,China,28,187500
2767488,2767488,China,54,187500
2772204,2772204,China,84,187500
2772990,2772990,China,74,187500
2775348,2775348,China,160,187500
2776134,2776134,China,179,187500
2776920,2776920,China,189,187500
2777706,2777706,China,217,187500
2778492,2778492,China,212,187500
2779278,2779278,China,223,187500
2780064,2780064,China,276,187500
2780850,2780850,China,166,187500
2781636,2781636,China,180,187500
2782422,2782422,China,158,187500
2783208,2783208,China,114,187500
2784780,2784780,China,122,187500
2785566,2785566,China,133,187500
2789496,2789496,China,61,187500
2791854,2791854,China,70,187500
2792640,2792640,China,66,187500
2801286,2801286,China,32,187500
2843730,2843730,China,39,187500
2850018,2850018,China,47,187500
2854734,2854734,China,60,187500
2872812,2872812,China,111,187500
2873598,2873598,China,88,187500
2875956,2875956,China,136,187500
2878314,2878314,China,129,187500
2882244,2882244,China,90,187500
2883816,2883816,China,118,187500
2890890,2890890,China,89,187500
2908968,2908968,China,134,187500
2909754,2909754,China,102,187500
2911326,2911326,China,184,187500
2917614,2917614,China,175,187500
2919186,2919186,China,164,187500
2919972,2919972,China,205,187500
2920758,2920758,China,155,187500
2921544,2921544,China,140,187500
2924688,2924688,China,130,187500
2925474,2925474,China,97,187500
3008004,3008004,China,234,187500
3008790,3008790,China,357,187500
3009576,3009576,China,258,187500
3012720,3012720,China,742,187500
3013506,3013506,China,474,187500
3014292,3014292,China,611,187500
3015078,3015078,China,558,187500
3015864,3015864,China,654,187500
3016650,3016650,China,678,187500
3017436,3017436,China,572,187500
3018222,3018222,China,504,187500
3021366,3021366,China,573,187500
3023724,3023724,China,541,187500
3027654,3027654,China,281,187500
3028440,3028440,China,317,187500
3029226,3029226,China,288,187500
3031584,3031584,China,156,187500
3032370,3032370,China,190,187500
3033156,3033156,China,197,187500
3039444,3039444,China,105,187500
3043374,3043374,China,69,187500
3052020,3052020,China,59,187500
3074814,3074814,China,153,187500
3107826,3107826,China,83,187500
3145554,3145554,China,94,187500
3150270,3150270,China,95,187500
3163632,3163632,China,124,187500
3183282,3183282,China,249,187500
3184068,3184068,China,233,187500
3184854,3184854,China,235,187500
3185640,3185640,China,222,187500
3189570,3189570,China,207,187500
3190356,3190356,China,229,187500
3192714,3192714,China,250,187500
3193500,3193500,China,252,187500
3194286,3194286,China,246,187500
3196644,3196644,China,312,187500
3197430,3197430,China,308,187500
3198216,3198216,China,280,187500
3199002,3199002,China,241,187500
3199788,3199788,China,202,187500
3204504,3204504,China,154,187500
3209220,3209220,China,295,187500
3211578,3211578,China,193,187500
3212364,3212364,China,213,187500
3214722,3214722,China,227,187500
3216294,3216294,China,466,187500
3217080,3217080,China,463,187500
3217866,3217866,China,767,187500
3218652,3218652,China,783,187500
3219438,3219438,China,1244,187500
3220224,3220224,China,1170,187500
3221010,3221010,China,1503,187500
3223368,3223368,China,2205,187500
3224154,3224154,China,1765,187500
3224940,3224940,China,4441,187500
3225726,3225726,China,6271,187500
3226512,3226512,China,3833,187500
3227298,3227298,China,6331,187500
3228084,3228084,China,6281,187500
3228870,3228870,China,7720,187500
3229656,3229656,China,6460,187500
3230442,3230442,China,8916,187500
3231228,3231228,China,9103,187500
3232014,3232014,China,38163,187500
3232800,3232800,China,23704,187500
3233586,3233586,China,26321,187500
3234372,3234372,China,34722,187500
3235158,3235158,China,32865,187500
3235944,3235944,China,55617,187500
3236730,3236730,China,57192,187500
3237516,3237516,China,52868,187500
3238302,3238302,China,37938,187500
3239088,3239088,China,31378,187500
3239874,3239874,China,25504,187500
3240660,3240660,China,28865,187500
3241446,3241446,China,26596,187500
3242232,3242232,China,25027,187500
3243018,3243018,China,19558,187500
3243804,3243804,China,17788,187500
3244590,3244590,China,14835,187500
3245376,3245376,China,15717,187500
3246162,3246162,China,13947,187500
3246948,3246948,China,15861,187500
3247734,3247734,China,11180,187500
3248520,3248520,China,10269,187500
3249306,3249306,China,9391,187500
3250092,3250092,China,8024,187500
3250878,3250878,China,6958,187500
3251664,3251664,China,7052,187500
3252450,3252450,China,6401,187500
3253236,3253236,China,7237,187500
3254022,3254022,China,6049,187500
3254808,3254808,China,5241,187500
3255594,3255594,China,5033,187500
3256380,3256380,China,4647,187500
3257952,3257952,China,4995,187500
3258738,3258738,China,4925,187500
3259524,3259524,China,5108,187500
3260310,3260310,China,4195,187500
3261096,3261096,China,3517,187500
3261882,3261882,China,3097,187500
3262668,3262668,China,3354,187500
3263454,3263454,China,3171,187500
3264240,3264240,China,3475,187500
3265026,3265026,China,3079,187500
3265812,3265812,China,2826,187500
3266598,3266598,China,2646,187500
3267384,3267384,China,2600,187500
3268170,3268170,China,2868,187500
3268956,3268956,China,4687,187500
3269742,3269742,China,5046,187500
3270528,3270528,China,5650,187500
3271314,3271314,China,5326,187500
3272100,3272100,China,4490,187500
3275244,3275244,China,5508,187500
3276030,3276030,China,7129,187500
3277602,3277602,China,8070,187500
3278388,3278388,China,7383,187500
3279174,3279174,China,8361,187500
3279960,3279960,China,10639,187500
3280746,3280746,China,17382,187500
3281532,3281532,China,13927,187500
3282318,3282318,China,16227,187500
3283104,3283104,China,18064,187500
3283890,3283890,China,18357,187500
3284676,3284676,China,23622,187500
3285462,3285462,China,28850,187500
3286248,3286248,China,30628,187500
3287034,3287034,China,36540,187500
3287820,3287820,China,44907,187500
3288606,3288606,China,44817,187500
3289392,3289392,China,40772,187500
3290178,3290178,China,51206,187500
3290964,3290964,China,57553,187500
3291750,3291750,China,65881,187500
3292536,3292536,China,65326,187500
3293322,3293322,China,64346,187500
3294108,3294108,China,68993,187500
3294894,3294894,China,62011,187500
3295680,3295680,China,65965,187500
3296466,3296466,China,84737,187500
3297252,3297252,China,90656,187500
3298038,3298038,China,86063,187500
3298824,3298824,China,84865,187500
3299610,3299610,China,79754,187500
3300396,3300396,China,66477,187500
3301182,3301182,China,82613,187500
3301968,3301968,China,89607,187500
3302754,3302754,China,82120,187500
3303540,3303540,China,94753,187500
3304326,3304326,China,81043,187500
3305112,3305112,China,76727,187500
3305898,3305898,China,60201,187500
3306684,3306684,China,80809,187500
3307470,3307470,China,88425,187500
3308256,3308256,China,77134,187500
3309042,3309042,China,76786,187500
3309828,3309828,China,68350,187500
3310614,3310614,China,62264,187500
3311400,3311400,China,53254,187500
3312186,3312186,China,83172,187500
3312972,3312972,China,80429,187500
3313758,3313758,China,73344,187500
3314544,3314544,China,68663,187500
