,Unnamed: 0.1,Unnamed: 0,Country,Daily new confirmed cases of COVID-19,daily_vaccinations
7998,10960323,10960323,United States,98627.0,4819
7999,10961937,10961937,United States,138358.0,4819
8000,10962744,10962744,United States,125122.0,4819
8001,10963551,10963551,United States,136195.0,4819
8002,10964358,10964358,United States,30589.0,4819
8003,10965972,10965972,United States,99341.0,4819
8004,10966779,10966779,United States,126626.0,4819
8005,10967586,10967586,United States,120016.0,4819
8006,10968393,10968393,United States,114305.0,4819
7995,10957902,10957902,United States,150569.0,4819
8007,10969200,10969200,United States,132950.0,4819
8009,10970814,10970814,United States,27897.0,4819
8010,10971621,10971621,United States,81700.0,4819
8011,10972428,10972428,United States,115986.0,4819
8012,10973235,10973235,United States,130588.0,4819
8013,10974042,10974042,United States,110093.0,4819
8014,10974849,10974849,United States,115441.0,4819
8015,10975656,10975656,United States,29176.0,4819
8016,10976463,10976463,United States,27073.0,4819
8017,10977270,10977270,United States,78248.0,4819
8018,10978077,10978077,United States,116212.0,4819
8019,10978884,10978884,United States,120932.0,4819
8008,10970007,10970007,United States,28624.0,4819
7994,10957095,10957095,United States,131403.0,4819
7993,10956288,10956288,United States,149835.0,4819
7992,10955481,10955481,United States,161349.0,4819
7967,10935306,10935306,United States,167613.0,4819
7968,10936113,10936113,United States,55577.0,4819
7969,10936920,10936920,United States,57136.0,4819
7970,10937727,10937727,United States,113656.0,4819
7971,10938534,10938534,United States,184135.0,4819
7972,10939341,10939341,United States,156001.0,4819
7973,10940148,10940148,United States,138983.0,4819
7974,10940955,10940955,United States,182741.0,4819
7975,10941762,10941762,United States,57577.0,4819
7976,10942569,10942569,United States,56070.0,4819
7977,10943376,10943376,United States,101687.0,4819
7978,10944183,10944183,United States,179375.0,4819
7979,10944990,10944990,United States,158884.0,4819
7980,10945797,10945797,United States,148445.0,4819
7981,10946604,10946604,United States,206657.0,4819
7982,10947411,10947411,United States,53259.0,4819
7983,10948218,10948218,United States,54599.0,4819
7984,10949025,10949025,United States,106403.0,4819
7985,10949832,10949832,United States,168680.0,4819
7986,10950639,10950639,United States,160831.0,4819
7987,10951446,10951446,United States,144834.0,4819
7988,10952253,10952253,United States,259377.0,4819
7989,10953060,10953060,United States,37913.0,4819
7990,10953867,10953867,United States,37944.0,4819
7991,10954674,10954674,United States,119038.0,4819
8020,10979691,10979691,United States,103592.0,4819
8021,10980498,10980498,United States,105130.0,4819
8022,10981305,10981305,United States,24912.0,4819
8023,10982112,10982112,United States,24255.0,4819
8053,11008743,11008743,United States,41711.0,4819
8054,11009550,11009550,United States,11333.0,4819
8055,11011164,11011164,United States,24419.0,4819
8056,11011971,11011971,United States,38156.0,4819
8057,11012778,11012778,United States,57464.0,4819
8058,11013585,11013585,United States,72989.0,4819
8059,11014392,11014392,United States,33699.0,4819
8060,11017620,11017620,United States,38999.0,4819
8061,11019234,11019234,United States,223946.0,4819
8062,11024076,11024076,United States,255156.0,4819
8063,11029725,11029725,United States,267304.0,4819
8064,11035374,11035374,United States,282897.0,4819
8065,11041023,11041023,United States,274984.0,4819
8066,11046672,11046672,United States,300171.0,4819
8067,11052321,11052321,United States,302599.0,4819
8068,11057970,11057970,United States,462223.0,4819
8069,11063619,11063619,United States,446014.0,4819
8070,11069268,11069268,United States,508009.0,4819
8071,11074917,11074917,United States,392203.0,4819
8072,11080566,11080566,United States,471714.0,4819
8073,11086215,11086215,United States,448092.0,4819
8074,11091864,11091864,United States,308025.0,4819
8075,11097513,11097513,United States,294867.0,4819
8076,11103162,11103162,United States,285402.0,4819
8077,11108811,11108811,United States,278228.0,4819
8052,11007936,11007936,United States,78599.0,4819
7966,10934499,10934499,United States,120595.0,4819
8051,11007129,11007129,United States,64193.0,4819
8049,11005515,11005515,United States,32368.0,4819
8024,10982919,10982919,United States,22446.0,4819
8025,10983726,10983726,United States,118994.0,4819
8026,10984533,10984533,United States,91690.0,4819
8027,10985340,10985340,United States,85271.0,4819
8028,10986147,10986147,United States,81941.0,4819
8029,10986954,10986954,United States,22131.0,4819
8030,10987761,10987761,United States,20216.0,4819
8031,10988568,10988568,United States,57915.0,4819
8032,10989375,10989375,United States,57983.0,4819
8033,10990182,10990182,United States,89519.0,4819
8034,10990989,10990989,United States,97563.0,4819
8035,10991796,10991796,United States,61574.0,4819
8036,10992603,10992603,United States,17572.0,4819
8037,10993410,10993410,United States,20188.0,4819
8038,10995024,10995024,United States,49594.0,4819
8039,10995831,10995831,United States,83979.0,4819
8040,10996638,10996638,United States,99198.0,4819
8041,10997445,10997445,United States,53400.0,4819
8042,10998252,10998252,United States,15871.0,4819
8043,10999059,10999059,United States,15295.0,4819
8044,10999866,10999866,United States,37642.0,4819
8045,11000673,11000673,United States,40387.0,4819
8046,11001480,11001480,United States,78175.0,4819
8047,11002287,11002287,United States,87152.0,4819
8048,11004708,11004708,United States,13856.0,4819
8050,11006322,11006322,United States,37655.0,4819
7849,10836852,10836852,United States,31172.0,4819
7965,10933692,10933692,United States,145751.0,4819
7963,10932078,10932078,United States,45747.0,4819
7880,10863483,10863483,United States,17314.0,4819
7881,10864290,10864290,United States,34571.0,4819
7882,10865097,10865097,United States,28789.0,4819
7883,10865904,10865904,United States,46149.0,4819
7884,10866711,10866711,United States,62708.0,4819
7885,10867518,10867518,United States,44355.0,4819
7886,10868325,10868325,United States,16817.0,4819
7887,10869132,10869132,United States,18767.0,4819
7888,10869939,10869939,United States,36003.0,4819
7889,10870746,10870746,United States,53418.0,4819
7890,10871553,10871553,United States,57408.0,4819
7879,10862676,10862676,United States,14053.0,4819
7891,10872360,10872360,United States,49509.0,4819
7893,10873974,10873974,United States,23458.0,4819
7894,10874781,10874781,United States,21103.0,4819
7895,10875588,10875588,United States,49858.0,4819
7896,10876395,10876395,United States,64414.0,4819
7897,10877202,10877202,United States,77145.0,4819
7898,10878009,10878009,United States,61915.0,4819
7899,10878816,10878816,United States,80656.0,4819
7900,10879623,10879623,United States,25939.0,4819
7902,10882044,10882044,United States,72566.0,4819
7903,10882851,10882851,United States,100537.0,4819
7904,10883658,10883658,United States,80010.0,4819
7892,10873167,10873167,United States,68799.0,4819
7878,10861869,10861869,United States,42601.0,4819
7877,10861062,10861062,United States,33806.0,4819
7876,10860255,10860255,United States,42256.0,4819
7851,10838466,10838466,United States,39598.0,4819
7852,10839273,10839273,United States,36942.0,4819
7853,10840080,10840080,United States,12159.0,4819
7854,10841694,10841694,United States,60969.0,4819
7855,10842501,10842501,United States,24495.0,4819
7856,10843308,10843308,United States,37828.0,4819
7857,10844115,10844115,United States,33159.0,4819
7858,10844922,10844922,United States,31004.0,4819
7859,10845729,10845729,United States,9881.0,4819
7621,10651242,10651242,United States,61313.0,4819
7861,10847343,10847343,United States,38828.0,4819
7862,10848150,10848150,United States,24771.0,4819
7863,10848957,10848957,United States,45160.0,4819
7864,10849764,10849764,United States,36077.0,4819
7865,10850571,10850571,United States,28714.0,4819
7866,10851378,10851378,United States,12511.0,4819
7867,10852992,10852992,United States,32427.0,4819
7868,10853799,10853799,United States,24078.0,4819
7869,10854606,10854606,United States,48239.0,4819
7870,10855413,10855413,United States,40063.0,4819
7871,10856220,10856220,United States,27393.0,4819
7872,10857027,10857027,United States,11677.0,4819
7873,10857834,10857834,United States,10548.0,4819
7874,10858641,10858641,United States,26930.0,4819
7875,10859448,10859448,United States,33374.0,4819
7905,10884465,10884465,United States,95732.0,4819
7906,10885272,10885272,United States,27518.0,4819
7907,10886079,10886079,United States,31753.0,4819
7908,10886886,10886886,United States,100982.0,4819
7938,10911096,10911096,United States,144559.0,4819
7939,10911903,10911903,United States,105965.0,4819
7940,10912710,10912710,United States,147763.0,4819
7941,10913517,10913517,United States,37707.0,4819
7942,10914324,10914324,United States,38721.0,4819
7943,10915131,10915131,United States,91358.0,4819
7944,10915938,10915938,United States,138010.0,4819
7945,10916745,10916745,United States,143175.0,4819
7946,10917552,10917552,United States,97574.0,4819
7947,10918359,10918359,United States,125711.0,4819
7948,10919166,10919166,United States,35853.0,4819
7949,10919973,10919973,United States,35517.0,4819
7950,10920780,10920780,United States,52244.0,4819
7951,10921587,10921587,United States,186492.0,4819
7952,10922394,10922394,United States,134198.0,4819
7953,10923201,10923201,United States,101869.0,4819
7954,10924008,10924008,United States,163464.0,4819
7955,10924815,10924815,United States,44012.0,4819
7956,10926429,10926429,United States,96530.0,4819
7957,10927236,10927236,United States,154793.0,4819
7958,10928043,10928043,United States,148959.0,4819
7959,10928850,10928850,United States,112856.0,4819
7960,10929657,10929657,United States,172444.0,4819
7961,10930464,10930464,United States,48178.0,4819
7962,10931271,10931271,United States,46196.0,4819
7937,10910289,10910289,United States,152307.0,4819
7964,10932885,10932885,United States,169689.0,4819
7936,10909482,10909482,United States,99664.0,4819
7934,10907868,10907868,United States,47471.0,4819
7909,10887693,10887693,United States,100249.0,4819
7910,10888500,10888500,United States,127795.0,4819
7911,10889307,10889307,United States,98705.0,4819
7912,10890114,10890114,United States,117953.0,4819
7913,10890921,10890921,United States,29099.0,4819
7914,10891728,10891728,United States,46227.0,4819
7915,10892535,10892535,United States,123395.0,4819
7916,10893342,10893342,United States,129614.0,4819
7917,10894149,10894149,United States,146420.0,4819
7918,10894956,10894956,United States,109730.0,4819
7919,10895763,10895763,United States,150010.0,4819
7920,10896570,10896570,United States,36406.0,4819
7921,10897377,10897377,United States,44879.0,4819
7922,10898184,10898184,United States,110873.0,4819
7923,10898991,10898991,United States,133342.0,4819
7924,10899798,10899798,United States,153916.0,4819
7925,10900605,10900605,United States,113174.0,4819
7926,10901412,10901412,United States,148130.0,4819
7927,10902219,10902219,United States,36051.0,4819
7928,10903026,10903026,United States,35465.0,4819
7929,10903833,10903833,United States,55525.0,4819
7930,10904640,10904640,United States,155982.0,4819
7931,10905447,10905447,United States,140951.0,4819
